rung,seed,rmse,persistence,skill,b1_rmse,delta,params,ladder
"T,M,Y,I",49,18.31145477294922,20.035024642944336,0.08602783878292362,19.05434799194336,0.7428932189941406,17237,2
"T,M,Y,I",50,18.29043197631836,20.844676971435547,0.12253703900604414,19.20254898071289,0.9121170043945312,17237,2
"T,M,Y,I",51,15.641803741455078,17.95376968383789,0.12877328734277238,16.01685905456543,0.37505531311035156,17237,2
"T,M,Y,I",52,17.72624397277832,20.654285430908203,0.14176435529201128,18.649375915527344,0.9231319427490234,17237,2
"T,M,Y,I,S",42,16.508562088012695,19.11260414123535,0.1362473702683167,17.254837036132812,0.7462749481201172,17238,2
"T,M,Y,I,S",43,15.571388244628906,17.97795867919922,0.13386227421663574,16.307798385620117,0.7364101409912109,17238,2
"T,M,Y,I,S",44,17.872066497802734,20.755931854248047,0.13894174333854742,20.3840389251709,2.511972427368164,17238,2
"T,M,Y,I,S",45,16.104585647583008,18.384902954101562,0.12403205566063809,16.87846565246582,0.7738800048828125,17238,2
"T,M,Y,I,S",46,15.068581581115723,16.996112823486328,0.11341012279625598,15.564866065979004,0.49628448486328125,17238,2
"T,M,Y,I,S",47,17.69782257080078,19.918912887573242,0.11150660326237616,18.21786117553711,0.5200386047363281,17238,2
"T,M,Y,I,S",48,16.433534622192383,18.424585342407227,0.10806488630341719,17.026798248291016,0.5932636260986328,17238,2
"T,M,Y,I,S",49,18.113643646240234,20.035024642944336,0.09590110473763493,19.05434799194336,0.940704345703125,17238,2
"T,M,Y,I,S",50,18.472932815551758,20.844676971435547,0.11378176592200988,19.20254898071289,0.7296161651611328,17238,2
"T,M,Y,I,S",51,15.732037544250488,17.95376968383789,0.12374739003070877,16.01685905456543,0.2848215103149414,17238,2
"T,M,Y,I,S",52,17.729450225830078,20.654285430908203,0.14160912101569206,18.649375915527344,0.9199256896972656,17238,2
