architecture,split,ph,seed,rmse,mae,nrmse,persistence_rmse,persistence_mae,persistence_nrmse,skill,pred_std,actual_std,dispersion_ratio,split_range,n_test,lag_min,persistence_lag_min,params,best_epoch,p2_A,p2_AB,p2_DE,persistence_p2_A,persistence_p2_AB,persistence_p2_DE,p1_A,p1_AB,p1_DE,persistence_p1_A,persistence_p1_AB,persistence_p1_DE
Attn-LSTM,pooled,30,48,16.89054298400879,11.465234756469727,0.04691817495557997,18.424585342407227,12.259320259094238,0.05117940372890896,0.08326061780438475,31.12342643737793,35.006256103515625,0.8890818357467651,311.0,22586,25.0,30.0,17282,38,97.0069954839281,99.92473213495086,0.008855042946958293,94.70025679624545,99.94244222084477,0.004427521473479147,91.45931107765873,99.7653413619056,0.022137607367395732,89.74143274594881,99.88045692021606,0.022137607367395732
Attn-LSTM,pooled,30,49,19.34091567993164,13.116872787475586,0.05372476577758789,20.035024642944336,13.346933364868164,0.05565284623040093,0.03464477710323841,42.331581115722656,50.25693893432617,0.8423032164573669,360.0,22402,25.0,30.0,17282,35,97.06276225337024,99.94643335416481,0.008927774305865548,94.52727435050441,99.94196946701187,0.004463887152932774,91.08115346844032,99.80358896527096,0.02231943576466387,90.12141773055977,99.85269172395321,0.02231943576466387
Attn-LSTM,pooled,30,50,19.1710262298584,12.57505989074707,0.05325285063849555,20.844676971435547,13.584358215332031,0.05790188047620985,0.08029151729578883,37.200592041015625,41.51832580566406,0.8960041403770447,342.0,22286,25.0,30.0,17282,37,95.32890603966615,99.93718029256034,0.008974243919949745,92.66804271740106,99.90128331688055,0.004487121959974872,89.39693080857938,99.72628556044154,0.026922731759849234,87.44503275599031,99.71282419456162,0.02243560979987436
Attn-LSTM,pooled,30,51,16.04084587097168,10.988215446472168,0.04455790519714355,17.95376968383789,11.705757141113281,0.04987158245510525,0.10654719574509404,24.91410255432129,29.08127784729004,0.856705904006958,269.0,22580,25.0,30.0,17282,59,96.44375553587246,99.9645704162976,0.0,93.61824623560673,99.9734278122232,0.0,91.34189548272808,99.78299379982285,0.0044286979627989375,88.83082373782108,99.88485385296723,0.0044286979627989375
Attn-LSTM,pooled,30,52,18.723445892333984,12.462888717651367,0.05200957192314996,20.654285430908203,13.360759735107422,0.05737301508585612,0.09348372496512539,37.21574020385742,41.39702224731445,0.898995578289032,360.0,22436,25.0,30.0,17282,87,96.31841683009449,99.90194330540203,0.0,93.65305758602247,99.91085755036549,0.0,90.22998752005705,99.67463005883401,0.004457122481725798,88.13513995364593,99.75040114102336,0.0
B2-LSTM,pooled,30,42,16.508562088012695,11.200957298278809,0.04585711691114638,19.11260414123535,12.406909942626953,0.053090567058987084,0.1362473702683167,25.926776885986328,29.574790954589844,0.8766512274742126,274.0,22430,25.0,30.0,17238,37,96.97726259473919,99.91529201961659,0.0,93.12527864467232,99.95095853767276,0.0,90.25858225590727,99.7547926883638,0.0,87.30717788675881,99.82166740971913,0.0
B2-LSTM,pooled,30,43,15.571388244628906,10.372613906860352,0.043253856235080296,17.97795867919922,11.506531715393066,0.04993877410888672,0.13386227421663574,25.85614585876465,28.56932258605957,0.9050318002700806,311.0,22658,25.0,30.0,17238,34,97.7623797334275,99.97351928678613,0.0,94.69503045282019,99.97793273898843,0.0,92.40003530761761,99.90731750375143,0.0,89.6681083943861,99.91614440815607,0.0
B2-LSTM,pooled,30,44,17.872066497802734,11.981389045715332,0.04964462916056315,20.755931854248047,13.514228820800781,0.05765536626180013,0.13894174333854742,38.11637496948242,42.97486877441406,0.8869457244873047,360.0,22525,25.0,30.0,17238,43,96.8568257491676,99.90233074361821,0.0,94.04217536071032,99.94672586015538,0.0,90.29522752497225,99.67591564927858,0.0,87.96448390677025,99.80022197558269,0.0
B2-LSTM,pooled,30,45,16.104585647583008,10.753215789794922,0.044734960132175025,18.384902954101562,11.780583381652832,0.05106917487250434,0.12403205566063809,26.239023208618164,29.157039642333984,0.8999207019805908,307.0,22537,25.0,30.0,17238,48,96.94724231264144,99.88907130496517,0.008874295602786528,92.86506633535963,99.85357412255402,0.013311443404179793,91.27213027465945,99.62727958468297,0.026622886808359586,88.32142698673293,99.63171673248436,0.022185739006966323
B2-LSTM,pooled,30,46,15.068581581115723,10.184294700622559,0.04185717105865479,16.996112823486328,11.107176780700684,0.04721142450968425,0.11341012279625598,20.224424362182617,21.67938232421875,0.9328874945640564,205.0,22365,25.0,30.0,17238,53,97.1115582383188,99.89268947015427,0.008942544153811759,93.15448245025709,99.87033310976972,0.01341381623071764,91.72367538564721,99.6959534987704,0.02682763246143528,88.57142857142857,99.6914822266935,0.0223563603845294
B2-LSTM,pooled,30,47,17.69782257080078,11.719476699829102,0.04916061825222439,19.918912887573242,12.858047485351562,0.05533031357659234,0.11150660326237616,24.654708862304688,27.128841400146484,0.9088006615638733,253.0,22416,25.0,30.0,17238,64,95.45413990007138,99.87062812276946,0.008922198429693077,91.47483940042827,99.84386152748037,0.013383297644539615,88.90078515346181,99.59850107066381,0.02676659528907923,86.45610278372591,99.5405067808708,0.02230549607423269
B2-LSTM,pooled,30,48,16.433534622192383,11.329252243041992,0.04564870728386773,18.424585342407227,12.259320259094238,0.05117940372890896,0.10806488630341719,31.944408416748047,35.006256103515625,0.9125342965126038,311.0,22586,25.0,30.0,17238,48,97.49845036748428,99.90702204905693,0.008855042946958293,94.70025679624545,99.94244222084477,0.004427521473479147,91.94191091826795,99.79190649074647,0.026565128840874877,89.74143274594881,99.88045692021606,0.022137607367395732
B2-LSTM,pooled,30,49,18.113643646240234,12.440899848937988,0.050315676795111765,20.035024642944336,13.346933364868164,0.05565284623040093,0.09590110473763493,44.41147994995117,50.25693893432617,0.8836885094642639,360.0,22402,25.0,30.0,17238,60,97.44219266136952,99.94643335416481,0.008927774305865548,94.52727435050441,99.94196946701187,0.004463887152932774,91.47843942505133,99.81251673957682,0.017855548611731095,90.12141773055977,99.85269172395321,0.02231943576466387
B2-LSTM,pooled,30,50,18.472932815551758,12.375221252441406,0.05131370226542155,20.844676971435547,13.584358215332031,0.05790188047620985,0.11378176592200988,36.701141357421875,41.51832580566406,0.8839744925498962,342.0,22286,25.0,30.0,17238,40,96.53145472493942,99.92371892668042,0.008974243919949745,92.66804271740106,99.90128331688055,0.004487121959974872,90.15525441981514,99.73077268240151,0.026922731759849234,87.44503275599031,99.71282419456162,0.02243560979987436
B2-LSTM,pooled,30,51,15.732037544250488,10.720327377319336,0.04370010428958469,17.95376968383789,11.705757141113281,0.04987158245510525,0.12374739003070877,25.270496368408203,29.08127784729004,0.868960976600647,269.0,22580,25.0,30.0,17238,76,97.32949512843224,99.95128432240921,0.0,93.61824623560673,99.9734278122232,0.0,91.50575730735164,99.83170947741364,0.0044286979627989375,88.83082373782108,99.88485385296723,0.0044286979627989375
B2-LSTM,pooled,30,52,17.729450225830078,11.807917594909668,0.049248472849528,20.654285430908203,13.360759735107422,0.05737301508585612,0.14160912101569206,37.91998291015625,41.39702224731445,0.9160075187683105,360.0,22436,25.0,30.0,17238,82,97.0627562845427,99.92422891781067,0.0,93.65305758602247,99.91085755036549,0.0,91.0679265466215,99.69691567124265,0.004457122481725798,88.13513995364593,99.75040114102336,0.0
B3-LSTM,pooled,30,42,16.549144744873047,11.167940139770508,0.04596984651353624,19.11260414123535,12.406909942626953,0.053090567058987084,0.1341240250370515,26.62650489807129,29.574790954589844,0.9003108143806458,274.0,22430,25.0,30.0,17249,54,96.9193045028979,99.92420864913062,0.0,93.12527864467232,99.95095853767276,0.0,90.24966562639322,99.75479268836379,0.0,87.30717788675881,99.82166740971913,0.0
B3-LSTM,pooled,30,43,15.682047843933105,10.517760276794434,0.043561244010925294,17.97795867919922,11.506531715393066,0.04993877410888672,0.12770698143402223,26.068004608154297,28.56932258605957,0.9124473929405212,311.0,22658,25.0,30.0,17249,26,97.68735104598817,99.97793273898843,0.0,94.69503045282019,99.97793273898843,0.0,92.22791067172743,99.88966369494219,0.0,89.6681083943861,99.91614440815607,0.0
B3-LSTM,pooled,30,44,17.889135360717773,12.010507583618164,0.04969204266866048,20.755931854248047,13.514228820800781,0.05765536626180013,0.13811938262572085,38.18946838378906,42.97486877441406,0.8886465430259705,360.0,22525,25.0,30.0,17249,40,96.94117647058823,99.9245283018868,0.0,94.04217536071032,99.94672586015538,0.0,90.49944506104329,99.69367369589345,0.0,87.96448390677025,99.80022197558269,0.0
B3-LSTM,pooled,30,45,16.03663444519043,10.610262870788574,0.04454620679219564,18.384902954101562,11.780583381652832,0.05106917487250434,0.12772808835454028,26.037424087524414,29.157039642333984,0.893006443977356,307.0,22537,25.0,30.0,17249,53,96.445844611084,99.88463415716377,0.008874295602786528,92.86506633535963,99.85357412255402,0.013311443404179793,91.08577006700094,99.66721391489551,0.026622886808359586,88.32142698673293,99.63171673248436,0.022185739006966323
B3-LSTM,pooled,30,46,14.97192668914795,10.080079078674316,0.04158868524763319,16.996112823486328,11.107176780700684,0.04721142450968425,0.11909700502465644,20.034801483154297,21.67938232421875,0.9241408109664917,205.0,22365,25.0,30.0,17249,56,96.82092555331992,99.89268947015427,0.008942544153811759,93.15448245025709,99.87033310976972,0.01341381623071764,91.70131902526269,99.73172367538565,0.02682763246143528,88.57142857142857,99.6914822266935,0.0223563603845294
B3-LSTM,pooled,30,47,17.536075592041016,11.66272258758545,0.04871132108900282,19.918912887573242,12.858047485351562,0.05533031357659234,0.11962687466838619,24.41357421875,27.128841400146484,0.8999121785163879,253.0,22416,25.0,30.0,17249,79,95.40060670949322,99.89293361884368,0.004461099214846539,91.47483940042827,99.84386152748037,0.013383297644539615,88.96770164168451,99.64757316202713,0.02676659528907923,86.45610278372591,99.5405067808708,0.02230549607423269
B3-LSTM,pooled,30,48,16.505664825439453,11.52549934387207,0.04584906895955403,18.424585342407227,12.259320259094238,0.05117940372890896,0.104149997479241,30.860841751098633,35.006256103515625,0.8815807700157166,311.0,22586,25.0,30.0,17249,45,97.75967413441956,99.90259452758346,0.008855042946958293,94.70025679624545,99.94244222084477,0.004427521473479147,91.87992561763924,99.74320375453821,0.022137607367395732,89.74143274594881,99.88045692021606,0.022137607367395732
B3-LSTM,pooled,30,49,18.371143341064453,12.574278831481934,0.05103095372517904,20.035024642944336,13.346933364868164,0.05565284623040093,0.08304862766744069,43.606285095214844,50.25693893432617,0.8676669597625732,360.0,22402,25.0,30.0,17249,44,97.41540933845192,99.94643335416481,0.008927774305865548,94.52727435050441,99.94196946701187,0.004463887152932774,91.36237835907508,99.83037228818856,0.02231943576466387,90.12141773055977,99.85269172395321,0.02231943576466387
B3-LSTM,pooled,30,50,18.354406356811523,12.113725662231445,0.050984462102254234,20.844676971435547,13.584358215332031,0.05790188047620985,0.1194679398503781,37.66584014892578,41.51832580566406,0.9072099924087524,342.0,22286,25.0,30.0,17249,45,96.28017589518083,99.93718029256036,0.008974243919949745,92.66804271740106,99.90128331688055,0.004487121959974872,90.33473929821413,99.75320829220139,0.008974243919949745,87.44503275599031,99.71282419456162,0.02243560979987436
B3-LSTM,pooled,30,51,15.695134162902832,10.719782829284668,0.043597594896952314,17.95376968383789,11.705757141113281,0.04987158245510525,0.1258028570439053,25.533899307250977,29.08127784729004,0.8780184984207153,269.0,22580,25.0,30.0,17249,66,97.26306465899026,99.95571302037202,0.0,93.61824623560673,99.9734278122232,0.0,91.70947741364039,99.83170947741364,0.0044286979627989375,88.83082373782108,99.88485385296723,0.0044286979627989375
B3-LSTM,pooled,30,52,17.847511291503906,11.936920166015625,0.049576420254177515,20.654285430908203,13.360759735107422,0.05737301508585612,0.1358930643615531,37.67848587036133,41.39702224731445,0.9101738333702087,360.0,22436,25.0,30.0,17249,88,97.18755571403102,99.9153146728472,0.0,93.65305758602247,99.91085755036549,0.0,91.00552683187733,99.67463005883401,0.004457122481725798,88.13513995364593,99.75040114102336,0.0
